diameter_micron,percent,ultrasound_time
0.02,,90.0
0.02244,0.0,90.0
0.025179,0.0,90.0
0.028251,0.0,90.0
0.031698,0.0,90.0
0.035566,0.0,90.0
0.039905,0.0,90.0
0.044774,0.0,90.0
0.050238,0.0,90.0
0.056368,0.0,90.0
0.063246,0.0,90.0
0.070963,0.0,90.0
0.079621,0.0,90.0
0.089337,0.0,90.0
0.100237,0.0,90.0
0.112468,0.0,90.0
0.126191,0.0,90.0
0.141589,0.0,90.0
0.158866,0.0,90.0
0.17825,0.0,90.0
0.2,0.0,90.0
0.224404,0.0,90.0
0.251785,0.0,90.0
0.282508,0.0,90.0
0.316979,0.0,90.0
0.355656,0.0,90.0
0.399052,0.0,90.0
0.447744,0.0,90.0
0.502377,0.0,90.0
0.563677,0.0,90.0
0.632456,0.070158,90.0
0.709627,0.105931,90.0
0.796214,0.159998,90.0
0.893367,0.206562,90.0
1.002374,0.267465,90.0
1.124683,0.344595,90.0
1.261915,0.443439,90.0
1.415892,0.573066,90.0
1.588656,0.730737,90.0
1.782502,0.919693,90.0
2.0,1.126761,90.0
2.244037,1.345171,90.0
2.517851,1.562256,90.0
2.825075,1.76757,90.0
3.169786,1.957181,90.0
3.556559,2.121766,90.0
3.990525,2.265481,90.0
4.477442,2.384187,90.0
5.023773,2.485639,90.0
5.636766,2.573118,90.0
6.324555,2.653642,90.0
7.096268,2.734036,90.0
7.962143,2.818835,90.0
8.933672,2.915613,90.0
10.023745,3.02437,90.0
11.246826,3.151413,90.0
12.619147,3.294517,90.0
14.158916,3.455717,90.0
15.886565,3.632251,90.0
17.825019,3.818033,90.0
20.0,4.00715,90.0
22.440369,4.178419,90.0
25.178508,4.315733,90.0
28.250751,4.388561,90.0
31.697864,4.373908,90.0
35.565588,4.251161,90.0
39.905246,4.012646,90.0
44.774423,3.658883,90.0
50.237729,3.21622,90.0
56.367659,2.700297,90.0
63.245553,2.168273,90.0
70.962678,1.637371,90.0
79.621434,1.155725,90.0
89.336718,0.747373,90.0
100.237447,0.255881,90.0
112.468265,0.023195,90.0
126.191469,0.0,90.0
141.589157,0.0,90.0
158.865647,0.0,90.0
178.250188,0.0,90.0
200.0,0.0,90.0
224.403691,0.0,90.0
251.785082,0.0,90.0
282.507509,0.0,90.0
316.978638,0.0,90.0
355.655882,0.0,90.0
399.052463,0.0,90.0
447.744228,0.0,90.0
502.377286,0.0,90.0
563.676586,0.0,90.0
632.455532,0.0,90.0
709.626778,0.0,90.0
796.214341,0.0,90.0
893.367184,0.0,90.0
1002.374467,0.0,90.0
1124.68265,0.0,90.0
1261.914689,0.0,90.0
1415.891569,0.0,90.0
1588.656469,0.0,90.0
1782.501876,0.0,90.0
2000.0,0.0,90.0
0.02,,0.0
0.02244,0.0,0.0
0.025179,0.0,0.0
0.028251,0.0,0.0
0.031698,0.0,0.0
0.035566,0.0,0.0
0.039905,0.0,0.0
0.044774,0.0,0.0
0.050238,0.0,0.0
0.056368,0.0,0.0
0.063246,0.0,0.0
0.070963,0.0,0.0
0.079621,0.0,0.0
0.089337,0.0,0.0
0.100237,0.0,0.0
0.112468,0.0,0.0
0.126191,0.0,0.0
0.141589,0.0,0.0
0.158866,0.0,0.0
0.17825,0.0,0.0
0.2,0.0,0.0
0.224404,0.0,0.0
0.251785,0.0,0.0
0.282508,0.0,0.0
0.316979,0.0,0.0
0.355656,0.0,0.0
0.399052,0.0,0.0
0.447744,0.0,0.0
0.502377,0.011982,0.0
0.563677,0.059215,0.0
0.632456,0.100705,0.0
0.709627,0.13617,0.0
0.796214,0.157872,0.0
0.893367,0.180556,0.0
1.002374,0.202859,0.0
1.124683,0.232252,0.0
1.261915,0.273626,0.0
1.415892,0.33244,0.0
1.588656,0.40875,0.0
1.782502,0.504329,0.0
2.0,0.612785,0.0
2.244037,0.731349,0.0
2.517851,0.854769,0.0
2.825075,0.979261,0.0
3.169786,1.104972,0.0
3.556559,1.227597,0.0
3.990525,1.351697,0.0
4.477442,1.473715,0.0
5.023773,1.599166,0.0
5.636766,1.727728,0.0
6.324555,1.862144,0.0
7.096268,2.004848,0.0
7.962143,2.154315,0.0
8.933672,2.315636,0.0
10.023745,2.482865,0.0
11.246826,2.661733,0.0
12.619147,2.846909,0.0
14.158916,3.041201,0.0
15.886565,3.243061,0.0
17.825019,3.449891,0.0
20.0,3.662747,0.0
22.440369,3.869705,0.0
25.178508,4.068963,0.0
28.250751,4.241324,0.0
31.697864,4.377909,0.0
35.565588,4.461398,0.0
39.905246,4.480071,0.0
44.774423,4.422601,0.0
50.237729,4.284492,0.0
56.367659,4.058437,0.0
63.245553,3.756616,0.0
70.962678,3.377546,0.0
79.621434,2.944796,0.0
89.336718,2.471737,0.0
100.237447,1.988505,0.0
112.468265,1.51389,0.0
126.191469,1.031982,0.0
141.589157,0.553656,0.0
158.865647,0.107224,0.0
178.250188,0.0,0.0
200.0,0.0,0.0
224.403691,0.0,0.0
251.785082,0.0,0.0
282.507509,0.0,0.0
316.978638,0.0,0.0
355.655882,0.0,0.0
399.052463,0.0,0.0
447.744228,0.0,0.0
502.377286,0.0,0.0
563.676586,0.0,0.0
632.455532,0.0,0.0
709.626778,0.0,0.0
796.214341,0.0,0.0
893.367184,0.0,0.0
1002.374467,0.0,0.0
1124.68265,0.0,0.0
1261.914689,0.0,0.0
1415.891569,0.0,0.0
1588.656469,0.0,0.0
1782.501876,0.0,0.0
2000.0,0.0,0.0
