author,short_name,exp_code,particle_type,phi,d_p,rho_p,alpha,rho_a,vs,rho_m,L0,W0,H0,g_prime,u_0,a,Re,Vs,St,Sed,Fr,E
Gadal et al. 2023,Gadal23,run_025.nc,Silica sand,2.94E-02,1.16E-04,2.65E+03,8.90E-01,9.98E+02,7.40E-03,1.05E+03,9.90E-02,1.94E-01,2.04E-01,4.78E-01,3.12E-01,2.06E+00,6.65E+04,3.81E-04,6.24E-03,1.15E-02,4.23E-01,0.051511758
Gadal et al. 2023,Gadal23,run_026.nc,Silica sand,4.05E-02,1.16E-04,2.65E+03,8.90E-01,9.98E+02,7.40E-03,1.06E+03,9.90E-02,1.94E-01,2.04E-01,6.58E-01,3.66E-01,2.06E+00,7.94E+04,4.55E-04,7.32E-03,9.81E-03,3.19E-01,0.045093875
Gadal et al. 2023,Gadal23,run_027.nc,Silica sand,2.08E-02,1.16E-04,2.65E+03,8.90E-01,9.98E+02,7.40E-03,1.03E+03,9.90E-02,1.94E-01,2.04E-01,3.37E-01,2.62E-01,2.06E+00,5.50E+04,2.35E-04,5.24E-03,1.37E-02,3.59E-01,0.036336644
Gadal et al. 2023,Gadal23,run_028.nc,Silica sand,5.02E-02,1.16E-04,2.65E+03,8.90E-01,9.98E+02,7.40E-03,1.08E+03,9.90E-02,1.94E-01,2.04E-01,8.15E-01,4.07E-01,2.06E+00,8.96E+04,6.01E-04,8.14E-03,8.82E-03,3.72E-01,0.046385204
Gadal et al. 2023,Gadal23,run_029.nc,Silica sand,6.37E-02,1.16E-04,2.65E+03,8.90E-01,9.98E+02,7.40E-03,1.10E+03,9.90E-02,1.94E-01,2.04E-01,1.03E+00,4.59E-01,2.06E+00,1.03E+05,7.48E-04,9.18E-03,7.82E-03,4.08E-01,0.04636573
Gadal et al. 2023,Gadal23,run_030.nc,Silica sand,1.45E-02,1.16E-04,2.65E+03,8.90E-01,9.98E+02,7.40E-03,1.02E+03,9.90E-02,1.94E-01,2.04E-01,2.35E-01,2.19E-01,2.06E+00,4.55E+04,1.61E-04,4.38E-03,1.64E-02,3.62E-01,0.032218678
Gadal et al. 2023,Gadal23,run_031.nc,Silica sand,8.69E-03,1.16E-04,2.65E+03,8.90E-01,9.98E+02,7.40E-03,1.01E+03,9.90E-02,1.94E-01,2.04E-01,1.41E-01,1.69E-01,2.06E+00,3.49E+04,8.80E-05,3.38E-03,2.12E-02,3.93E-01,0.031993385
Gadal et al. 2023,Gadal23,run_032.nc,Silica sand,7.91E-02,1.16E-04,2.65E+03,8.90E-01,9.98E+02,7.40E-03,1.13E+03,9.90E-02,1.94E-01,2.04E-01,1.29E+00,5.12E-01,2.06E+00,1.18E+05,9.68E-04,1.02E-02,7.01E-03,3.94E-01,0.042507746
Gadal et al. 2023,Gadal23,run_033.nc,Silica sand,1.01E-01,1.16E-04,2.65E+03,8.90E-01,9.98E+02,7.40E-03,1.17E+03,9.90E-02,1.94E-01,2.04E-01,1.65E+00,5.79E-01,2.06E+00,1.37E+05,1.26E-03,1.16E-02,6.20E-03,4.16E-01,0.042709855
Gadal et al. 2023,Gadal23,run_034.nc,Silica sand,6.76E-03,1.16E-04,2.65E+03,8.90E-01,9.98E+02,7.40E-03,1.01E+03,9.90E-02,1.94E-01,2.04E-01,1.10E-01,1.49E-01,2.06E+00,3.07E+04,8.80E-05,2.98E-03,2.41E-02,3.71E-01,0.038382687
