exp_code,file_name,type,cont,mixing,C0,rho,del_rho,g_prime,u_0,hose diameter,Q,amp,freq,U_mix,Ri_0,u_c
NM1s,SN0,saline,none,none,0,999.93,1.73,0.017,0.065,,,,,,,0.030451997
NM2s,SN5,saline,none,none,0,1000.27,2.07,0.02,0.071,,,,,,,0.036205401
NM3s,Saline_025gL,saline,none,none,0,1001.46,3.26,0.032,0.089,,,,,,,0.050752162
NM4s,Saline_5gL,saline,none,none,0,1004.62,6.42,0.063,0.126,,,,,,,0.061334262
NM5s,Saline_10gL,saline,none,none,0,1010.97,12.77,0.125,0.177,,,,,,,0.081292448
NM6s,SN6,saline,none,none,0,1014.77,16.57,0.163,0.202,,,,,,,0.096514206
NM7s,SN7_redo,saline,none,none,0,1020.23,22.03,0.217,0.233,,,,,,,0.107173189
JH1,PH0,part,stop,stagnation high Q,1,998.76,0.56,0.006,0.037,0.00635,0.00025,,,1.97,0.000355,0.018967867
JH2,PH2_redo,part,stop,stagnation high Q,2.5,999.6,1.40,0.014,0.059,0.00635,0.00025,,,1.97,0.000888,0.027308843
JH3,PH3_redo,part,stop,stagnation high Q,5,1001,2.80,0.028,0.083,0.00635,0.00025,,,1.97,0.001774,0.034938841
JH4,PH4_redo,part,stop,stagnation high Q,10,1003.79,5.59,0.055,0.117,0.00635,0.00025,,,1.97,0.00354,0.048228134
JH5,Stag70_20gL_stop,part,stop,stagnation high Q,20,1009.33,11.13,0.109,0.165,0.00635,0.00025,,,1.97,0.007049,0.064497038
JH6,PH6,part,stop,stagnation high Q,30,1014.83,16.63,0.163,0.202,0.00635,0.00025,,,1.97,0.010528,0.082974974
JH7,PH7,part,stop,stagnation high Q,40,1020.28,22.08,0.217,0.233,0.00635,0.00025,,,1.97,0.013976,0.089841786
JH1s,SH0,saline,stop,stagnation high Q,0,999.554,1.354,0.013,0.058,0.00635,0.00025,,,1.97,0.000857,0.025851951
JH2s,SH5-r,saline,stop,stagnation high Q,0,1000.2,2,0.02,0.07,0.00635,0.00025,,,1.97,0.001266,0.032245107
JH3s,Stag70_025gL_stop_saline,saline,stop,stagnation high Q,0,1001.52,3.32,0.033,0.09,0.00635,0.00025,,,1.97,0.002102,0.032786679
