exp_code,type,mixing,C0 (g/L),rho (kg/m3),del_rho (kg/m3),g_prime,U_0 (m/s),hose diameter (m),Q (m3/s),amp (m),freq (Hz),U_mix (m/s),tau_f,tau_p,tau_s,U_c (m/s),Re (-),St (-),Sed (-),Ri_0 (-),,,,,
NM1s,saline,none,0,999.93,1.73,0.017,0.065,,,,,,4.15,6.12E-05,7.41E+02,3.05E-02,16249,1.47E-05,5.60E-03,,,,,,
NM2s,saline,none,0,1000.27,2.07,0.02,0.071,,,,,,3.8,6.12E-05,7.41E+02,3.62E-02,17755,1.61E-05,5.13E-03,,,,,,
NM3s,saline,none,0,1001.46,3.26,0.032,0.089,,,,,,3.03,6.12E-05,7.41E+02,5.08E-02,22282,2.02E-05,4.09E-03,,,,,,
NM4s,saline,none,0,1004.62,6.42,0.063,0.126,,,,,,2.14,6.12E-05,7.41E+02,6.13E-02,31646,2.86E-05,2.89E-03,,,,,,
NM5s,saline,none,0,1010.97,12.77,0.125,0.177,,,,,,1.53,6.12E-05,7.41E+02,8.13E-02,44735,4.01E-05,2.06E-03,,,,,,
NM6s,saline,none,0,1014.77,16.57,0.163,0.202,,,,,,1.34,6.12E-05,7.41E+02,9.65E-02,51246,4.58E-05,1.80E-03,,,,,,
NM7s,saline,none,0,1020.23,22.03,0.217,0.233,,,,,,1.16,6.12E-05,7.41E+02,1.07E-01,59428,5.28E-05,1.56E-03,,,,,,
JH1,part,jet high Q,1,998.76,0.56,0.006,0.037,0.00635,0.00025,,,1.97,7.3,6.12E-05,7.41E+02,1.90E-02,9239,8.39E-06,9.85E-03,3.55E-04,,,,,
JH2,part,jet high Q,2.5,999.6,1.4,0.014,0.059,0.00635,0.00025,,,1.97,4.58,6.12E-05,7.41E+02,2.73E-02,14744,1.34E-05,6.17E-03,8.88E-04,,,,,
JH3,part,jet high Q,5,1001,2.8,0.028,0.083,0.00635,0.00025,,,1.97,3.25,6.12E-05,7.41E+02,3.49E-02,20771,1.88E-05,4.39E-03,1.77E-03,,,,,
JH4,part,jet high Q,10,1003.79,5.59,0.055,0.117,0.00635,0.00025,,,1.97,2.31,6.12E-05,7.41E+02,4.82E-02,29361,2.65E-05,3.11E-03,3.54E-03,,,,,
JH5,part,jet high Q,20,1009.33,11.13,0.109,0.165,0.00635,0.00025,,,1.97,1.64,6.12E-05,7.41E+02,6.45E-02,41635,3.74E-05,2.21E-03,7.05E-03,,,,,
JH6,part,jet high Q,30,1014.83,16.63,0.163,0.202,0.00635,0.00025,,,1.97,1.34,6.12E-05,7.41E+02,8.30E-02,51249,4.58E-05,1.80E-03,1.05E-02,,,,,
JH7,part,jet high Q,40,1020.28,22.08,0.217,0.233,0.00635,0.00025,,,1.97,1.16,6.12E-05,7.41E+02,8.98E-02,59431,5.28E-05,1.56E-03,1.40E-02,,,,,
JH1s,saline,jet high Q,0,999.554,1.354,0.013,0.058,0.00635,0.00025,,,1.97,4.66,6.12E-05,7.41E+02,2.59E-02,14494,1.32E-05,6.28E-03,8.57E-04,,,,,
JH2s,saline,jet high Q,0,1000.2,2,0.02,0.07,0.00635,0.00025,,,1.97,3.86,6.12E-05,7.41E+02,3.22E-02,17504,1.59E-05,5.20E-03,1.27E-03,,,,,
JH3s,saline,jet high Q,0,1001.52,3.32,0.033,0.09,0.00635,0.00025,,,1.97,3,6.12E-05,7.41E+02,3.28E-02,22534,2.04E-05,4.05E-03,2.10E-03,,,,,
JH4s,saline,jet high Q,0,1004.66,6.46,0.063,0.126,0.00635,0.00025,,,1.97,2.14,6.12E-05,7.41E+02,5.21E-02,31647,2.86E-05,2.89E-03,4.09E-03,,,,,
JH5s,saline,jet high Q,0,1010.92,12.72,0.125,0.177,0.00635,0.00025,,,1.97,1.53,6.12E-05,7.41E+02,7.04E-02,44733,4.01E-05,2.06E-03,8.05E-03,,,,,
JH6s,saline,jet high Q,0,1014.94,16.74,0.165,0.203,0.00635,0.00025,,,1.97,1.33,6.12E-05,7.41E+02,9.14E-02,51508,4.60E-05,1.79E-03,1.06E-02,,,,,
JH7s,saline,jet high Q,0,1023.21,25.01,0.246,0.248,0.00635,0.00025,,,1.97,1.09,6.12E-05,7.41E+02,1.04E-01,63439,5.62E-05,1.47E-03,1.58E-02,,,,,
JL1,part,jet low Q,1,998.76,0.561369622,0.006,0.037,0.00635,0.000182,,,1.44,7.3,6.12E-05,7.41E+02,1.84E-02,9239,8.39E-06,9.85E-03,6.65E-04,,,,,
JL2,part,jet low Q,2.5,999.6,1.402500548,0.014,0.059,0.00635,0.000182,,,1.44,4.58,6.12E-05,7.41E+02,2.28E-02,14744,1.34E-05,6.17E-03,1.66E-03,,,,,
JL3,part,jet low Q,5,1001,2.801928133,0.028,0.083,0.00635,0.000182,,,1.44,3.25,6.12E-05,7.41E+02,3.25E-02,20771,1.88E-05,4.39E-03,3.32E-03,,,,,
JL4,part,jet low Q,10,1003.79,5.591604722,0.055,0.117,0.00635,0.000182,,,1.44,2.31,6.12E-05,7.41E+02,4.39E-02,29361,2.65E-05,3.11E-03,6.63E-03,,,,,
JL5,part,jet low Q,20,1009.33,11.13452329,0.109,0.165,0.00635,0.000182,,,1.44,1.64,6.12E-05,7.41E+02,6.34E-02,41635,3.74E-05,2.21E-03,1.32E-02,,,,,
JL6,part,jet low Q,30,1014.83,16.62938882,0.163,0.202,0.00635,0.000182,,,1.44,1.34,6.12E-05,7.41E+02,8.05E-02,51249,4.58E-05,1.80E-03,1.97E-02,,,,,
JL7,part,jet low Q,40,1020.28,22.07682348,0.217,0.233,0.00635,0.000182,,,1.44,1.16,6.12E-05,7.41E+02,9.74E-02,59431,5.28E-05,1.56E-03,2.62E-02,,,,,
JL1s,saline,jet low Q,0,999.35,1.15,0.011,0.053,0.00635,0.000182,,,1.44,5.09,6.12E-05,7.41E+02,3.09E-02,13241,1.20E-05,6.87E-03,1.36E-03,,,,,
JL2s,saline,jet low Q,0,1000.12,1.92,0.019,0.069,0.00635,0.000182,,,1.44,3.91,6.12E-05,7.41E+02,2.94E-02,17252,1.56E-05,5.28E-03,2.28E-03,,,,,
JL3s,saline,jet low Q,0,1001.51,3.31,0.033,0.09,0.00635,0.000182,,,1.44,3,6.12E-05,7.41E+02,4.31E-02,22534,2.04E-05,4.05E-03,3.92E-03,,,,,
JL4s,saline,jet low Q,0,1004.5,6.3,0.062,0.124,0.00635,0.000182,,,1.44,2.18,6.12E-05,7.41E+02,5.54E-02,31140,2.81E-05,2.94E-03,7.47E-03,,,,,
JL5s,saline,jet low Q,0,1011.04,12.84,0.126,0.178,0.00635,0.000182,,,1.44,1.52,6.12E-05,7.41E+02,7.23E-02,44991,4.04E-05,2.05E-03,1.52E-02,,,,,
JL6s,saline,jet low Q,0,1014.84,16.64,0.164,0.202,0.00635,0.000182,,,1.44,1.34,6.12E-05,7.41E+02,8.61E-02,51249,4.58E-05,1.80E-03,1.97E-02,,,,,
JL7s,saline,jet low Q,0,1023.19,24.99,0.246,0.248,0.00635,0.000182,,,1.44,1.09,6.12E-05,7.41E+02,1.05E-01,63438,5.62E-05,1.47E-03,2.96E-02,,,,,
GH2,part,grid high A,2.5,999.6,1.402500548,0.014,0.059,,,0.158,3.44,1.6,4.58,6.12E-05,7.41E+02,2.25E-02,14744,1.34E-05,6.17E-03,5.38E-03,,,,,
GH3,part,grid high A,5,1001,2.801928133,0.028,0.083,,,0.158,3.47,1.6,3.25,6.12E-05,7.41E+02,3.11E-02,20771,1.88E-05,4.39E-03,1.08E-02,,,,,
GH4,part,grid high A,10,1003.79,5.591604722,0.055,0.117,,,0.159,3.4,1.58,2.31,6.12E-05,7.41E+02,4.23E-02,29361,2.65E-05,3.11E-03,2.20E-02,,,,,
GH5,part,grid high A,20,1009.33,11.13452329,0.109,0.165,,,0.159,3.3,1.54,1.64,6.12E-05,7.41E+02,6.20E-02,41635,3.74E-05,2.21E-03,4.61E-02,,,,,
GL2,part,grid low A,2.5,999.6,1.402500548,0.014,0.059,,,0.057,5.82,0.58,4.58,6.12E-05,7.41E+02,2.06E-02,14744,1.34E-05,6.17E-03,4.10E-02,,,,,
GL3,part,grid low A,5,1001,2.801928133,0.028,0.083,,,0.063,5.5,0.64,3.25,6.12E-05,7.41E+02,2.66E-02,20771,1.88E-05,4.39E-03,6.72E-02,,,,,
GL4,part,grid low A,10,1003.79,5.591604722,0.055,0.117,,,0.049,5.42,0.44,2.31,6.12E-05,7.41E+02,3.74E-02,29361,2.65E-05,3.11E-03,2.84E-01,,,,,
GL5,part,grid low A,20,1009.33,11.13452329,0.109,0.165,,,0.049,5.83,0.46,1.64,6.12E-05,7.41E+02,5.60E-02,41635,3.74E-05,2.21E-03,5.17E-01,,,,,
GH3s,saline,grid high A,0,1001.35,3.15,0.031,0.088,,,0.163,3.32,1.6,3.07,6.12E-05,7.41E+02,3.72E-02,22030,2.00E-05,4.14E-03,1.21E-02,,,,,
GH4s,saline,grid high A,0,1004.64,6.44,0.063,0.126,,,0.162,3.46,1.66,2.14,6.12E-05,7.41E+02,5.73E-02,31646,2.86E-05,2.89E-03,2.30E-02,,,,,
GH5s,saline,grid high A,0,1010.89,12.69,0.125,0.177,,,0.161,3.43,1.64,1.53,6.12E-05,7.41E+02,7.57E-02,44732,4.01E-05,2.06E-03,4.64E-02,,,,,
GH7s,saline,grid high A,0,1023.245,25.045,0.246,0.248,,,0.158,3.27,1.52,1.09,6.12E-05,7.41E+02,1.14E-01,63441,5.62E-05,1.47E-03,1.07E-01,,,,,
GL3s,saline,grid low A,0,1001.53,3.33,0.033,0.09,,,0.065,5.77,0.7,3,6.12E-05,7.41E+02,4.60E-02,22534,2.04E-05,4.05E-03,6.68E-02,,,,,
GL4s,saline,grid low A,0,1004.63,6.43,0.063,0.126,,,0.064,5.76,0.68,2.14,6.12E-05,7.41E+02,5.83E-02,31646,2.86E-05,2.89E-03,1.37E-01,,,,,
GL5s,saline,grid low A,0,1010.85,12.65,0.124,0.176,,,0.055,5.38,0.52,1.53,6.12E-05,7.41E+02,7.77E-02,44477,3.99E-05,2.07E-03,4.60E-01,,,,,
GL7s,saline,grid low A,0,1023.16,24.96,0.245,0.248,,,0.052,5.65,0.5,1.09,6.12E-05,7.41E+02,9.68E-02,63436,5.62E-05,1.47E-03,9.81E-01,,,,,
